Gold (OG|GC) IY8U26 (0.48 DTE) vs 4339.5 (+40.5) - Open Interest
Put: 4,975  Call: 5,431  Vol: 27.54  Vol Chg: 0.00  Future Chg: +40.5
Strike,Call,Put,Vol Settle
3000,0,0,0.0
3250,0,0,0.0
3500,0,0,0.0
3600,0,0,0.0
3700,0,0,0.0
3750,0,2,0.0
3800,0,7,0.0
3890,0,0,0.0
3895,0,0,0.0
3900,0,3,0.0
3905,0,0,0.0
3910,0,0,0.0
3915,0,0,0.0
3920,0,0,0.0
3925,0,0,0.0
3930,0,0,0.0
3935,0,0,0.0
3940,0,0,0.0
3945,0,0,0.0
3950,0,2,0.0
3955,0,0,0.0
3960,0,0,0.0
3965,0,0,0.0
3970,0,0,0.0
3975,0,0,0.0
3980,0,0,0.0
3985,0,0,0.0
3990,0,0,0.0
3995,0,0,0.0
4000,0,27,0.0
4005,0,0,0.0
4010,0,5,0.0
4015,0,0,0.0
4020,0,0,0.0
4025,0,5,0.0
4030,0,0,0.0
4035,0,0,0.0
4040,0,1,0.0
4045,0,0,0.0
4050,0,6,0.0
4055,0,0,0.0
4060,0,1,0.0
4065,0,0,0.0
4070,0,0,0.0
4075,0,5,0.0
4080,0,0,0.0
4085,0,0,0.0
4090,0,0,0.0
4095,0,0,0.0
4100,0,145,0.0
4105,1,0,0.0
4110,0,5,0.0
4115,0,13,0.0
4120,0,63,0.0
4125,0,21,0.0
4130,0,10,0.0
4135,0,0,0.0
4140,0,17,0.0
4145,0,16,0.0
4150,0,145,0.0
4155,1,10,0.0
4160,0,39,0.0
4165,0,5,0.0
4170,0,12,0.0
4175,0,17,0.0
4180,0,8,0.0
4185,0,0,0.0
4190,0,3,0.0
4195,0,5,0.0
4200,1,300,0.0
4205,0,7,0.0
4210,0,4,0.0
4215,0,37,0.0
4220,1,42,0.0
4225,0,115,0.0
4230,0,21,0.0
4235,0,14,0.0
4240,1,12,0.0
4245,0,88,0.0
4250,2,1020,0.3463
4255,0,15,0.0
4260,0,20,0.0
4265,0,30,0.0
4270,1,46,0.3099
4275,2,69,0.3011
4280,24,71,0.2929
4285,9,55,0.2882
4290,16,11,0.2814
4295,12,61,0.2768
4300,68,218,0.2746
4305,55,93,0.2694
4310,56,129,0.2677
4315,29,12,0.2637
4320,23,4,0.2629
4325,49,200,0.2627
4330,43,6,0.2612
4335,32,10,0.2617
4340,95,0,0.2471
4345,12,14,0.2534
4350,363,448,0.2607
4355,81,20,0.2619
4360,162,19,0.2682
4365,36,0,0.2722
4370,57,50,0.2809
4375,232,97,0.2871
4380,34,6,0.2976
4385,57,1,0.3025
4390,6,0,0.3116
4395,393,1,0.3219
4400,413,55,0.3308
4405,70,0,0.3366
4410,24,0,0.3494
4415,62,6,0.356
4420,17,0,0.3671
4425,804,129,0.3776
4430,10,0,0.3849
4435,18,0,0.0
4440,18,1,0.0
4445,4,0,0.0
4450,67,113,0.0
4455,30,0,0.0
4460,11,0,0.0
4465,13,0,0.0
4470,12,0,0.0
4475,386,204,0.0
4480,4,0,0.0
4485,3,0,0.0
4490,16,1,0.0
4495,1,0,0.0
4500,153,105,0.0
4505,11,0,0.0
4510,0,0,0.0
4515,2,0,0.0
4520,4,0,0.0
4525,125,67,0.0
4530,0,0,0.0
4535,0,0,0.0
4540,4,0,0.0
4545,2,0,0.0
4550,140,107,0.0
4555,0,0,0.0
4560,30,0,0.0
4565,7,0,0.0
4570,0,0,0.0
4575,42,53,0.0
4580,3,0,0.0
4585,5,0,0.0
4590,30,0,0.0
4595,14,0,0.0
4600,82,68,0.0
4605,0,0,0.0
4610,10,0,0.0
4615,7,0,0.0
4620,10,0,0.0
4625,28,15,0.0
4630,0,0,0.0
4635,0,0,0.0
4640,0,0,0.0
4645,0,0,0.0
4650,73,32,0.0
4655,0,0,0.0
4660,10,0,0.0
4665,0,0,0.0
4670,0,0,0.0
4675,120,25,0.0
4680,0,0,0.0
4685,0,0,0.0
4690,0,0,0.0
4695,0,0,0.0
4700,162,20,0.0
4705,0,0,0.0
4710,0,0,0.0
4715,0,0,0.0
4720,0,0,0.0
4725,109,9,0.0
4730,5,0,0.0
4735,0,0,0.0
4740,0,0,0.0
4745,0,0,0.0
4750,15,0,0.0
4755,0,0,0.0
4760,0,0,0.0
4765,0,0,0.0
4770,0,0,0.0
4775,14,0,0.0
4780,0,0,0.0
4785,0,0,0.0
4790,0,0,0.0
4795,0,0,0.0
4800,76,1,0.0
4805,0,0,0.0
4810,0,0,0.0
4815,0,0,0.0
4820,0,0,0.0
4825,9,0,0.0
4830,0,0,0.0
4835,0,0,0.0
4840,0,0,0.0
4845,0,0,0.0
4850,2,0,0.0
4855,0,0,0.0
4860,0,0,0.0
4865,0,0,0.0
4875,23,0,0.0
4900,38,0,0.0
4925,22,0,0.0
4950,2,0,0.0
4975,3,0,0.0
5000,17,0,0.0
5025,27,0,0.0
5050,23,0,0.0
5075,0,0,0.0
5100,17,0,0.0
5200,18,0,0.0
5250,0,0,0.0
5300,0,0,0.0
5400,0,0,0.0
5500,0,0,0.0
5600,0,0,0.0
5750,0,0,0.0
6000,0,0,0.0
