Gold (OG|GC) G5RN6 (0.64 DTE) vs 4115.5 (+50.2) - Open Interest
Put: 1,147  Call: 2,273  Vol: 49.18  Vol Chg: -0.18  Future Chg: 50.2
Strike,Call,Put,Vol Settle
3870,0,2,0.6649606092883005
3875,0,7,0.6586058485224839
3880,0,1,0.6523209133688397
3885,0,1,0.6461087349021
3890,0,0,0.6399721973743908
3895,0,5,0.6339141382093203
3900,0,58,0.627937348008345
3905,0,6,0.6220445705478141
3910,0,6,0.6162385027739674
3915,0,2,0.6105217948141899
3920,0,5,0.6048970499658708
3925,0,18,0.5993668247033384
3930,0,0,0.5939336286736534
3935,0,9,0.58859992470218
3940,0,5,0.5833681287841728
3945,0,6,0.5782406100943263
3950,0,128,0.5732196909781351
3955,0,0,0.5683076469570096
3960,0,5,0.563506706729413
3965,0,0,0.5588190521656315
3970,0,2,0.5542468183102756
3975,0,36,0.5497920933845535
3980,0,35,0.5454569187845664
3985,0,26,0.54124328907983
3990,0,61,0.537153152013957
3995,0,12,0.5331884085074989
4000,0,83,0.5293509126540812
4005,0,2,0.5256424717215396
4010,0,20,0.5220648461533983
4015,0,0,0.5186197495683018
4020,0,2,0.5153088487588775
4025,0,10,0.512133763691395
4030,0,19,0.5090960675092902
4035,0,15,0.5061972865300959
4040,0,14,0.5034389002423723
4045,0,2,0.5008223413138921
4050,2,133,0.49834899558561574
4055,7,44,0.4960202020735096
4060,0,0,0.4938372529660455
4065,16,5,0.4918013936282932
4070,6,15,0.4899138226020341
4075,15,22,0.4881756915991673
4080,0,20,0.48658810551023635
4085,7,105,0.48515212239692573
4090,6,4,0.48386875349979164
4095,10,1,0.48273896322928067
4100,447,44,0.481763669175848
4105,2,0,0.4809437420987024
4110,0,0,0.4802800059378569
4115,8,0,0.47977323780366987
4120,4,5,0.4794241679813922
4125,281,21,0.47923347993400967
4130,3,0,0.47920181029701325
4135,4,0,0.47932974888044555
4140,5,0,0.4796178386681049
4145,12,0,0.48006657582152457
4150,155,1,0.4806764096756524
4155,1,0,0.4814477427383963
4160,21,0,0.4823809306934663
4165,22,0,0.48347628240037466
4170,12,0,0.48473405989238927
4175,129,1,0.48615447837630654
4180,10,0,0.48773770623540713
4185,5,0,0.4894838650274096
4190,0,0,0.49139302948401564
4195,2,0,0.49346522751170596
4200,525,7,0.49570044019128545
4205,2,0,0.4980986017808391
4210,4,0,0.5006595997090244
4215,4,0,0.503383274581779
4220,4,0,0.5062694201787963
4225,10,0,0.5093177834568223
4230,8,0,0.5125280645428347
4235,4,0,0.5158999167420006
4240,2,0,0.5194329465340388
4245,1,0,0.5231267135709459
4250,126,0,0.5269807306823395
4255,0,0,0.5309944638694333
4260,5,0,0.5351673323118575
4265,0,0,0.5394987083595879
4270,0,0,0.5439879175419264
4275,20,0,0.5486342385588614
4280,8,0,0.553436903286638
4285,0,0,0.5583950967777582
4290,0,0,0
4295,1,0,0
4300,37,0,0
4305,1,0,0
4310,0,0,0
4315,0,0,0
4320,6,0,0
4325,25,0,0
4330,2,0,0
4335,0,0,0
4340,0,0,0
4345,0,0,0
4350,59,0,0
4355,0,0,0
4360,0,0,0
4365,0,0,0
4370,0,0,0
4375,24,0,0
